@relation parsed

@attribute home {Richmond,'Western Bulldogs',Essendon,'Adelaide Crows','GWS Giants','Gold Coast Suns','North Melbourne',Hawthorn,'West Coast Eagles',Collingwood,'Geelong Cats','Brisbane Lions',Carlton,'Port Adelaide','Sydney Swans','St Kilda',Melbourne,Fremantle}
@attribute away {Carlton,Collingwood,Fremantle,'Sydney Swans','Geelong Cats','Port Adelaide','St Kilda','Brisbane Lions',Melbourne,Richmond,Hawthorn,'Adelaide Crows','West Coast Eagles','North Melbourne',Essendon,'Western Bulldogs','GWS Giants','Gold Coast Suns'}
@attribute percent numeric
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute zzzz numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa {MCG,MRVL,AO,GS,MS,OS,GMHBA,G,SCG}
@attribute waa numeric
@attribute xaa numeric
@attribute ptpa {'Western Bulldogs','GWS Giants',Hawthorn,Richmond,'Gold Coast Suns','Port Adelaide','Geelong Cats','Adelaide Crows','North Melbourne',Collingwood,'St Kilda',Fremantle,'West Coast Eagles','Sydney Swans',Carlton,Essendon,Melbourne,'Brisbane Lions'}
@attribute ptpb {Carlton,'Brisbane Lions',Essendon,'West Coast Eagles','Sydney Swans',Melbourne,'St Kilda',Fremantle,Collingwood,'Geelong Cats','North Melbourne','Western Bulldogs','Gold Coast Suns','Port Adelaide','GWS Giants',Hawthorn,Richmond,'Adelaide Crows'}
@attribute Result {win,loss}

@data
'North Melbourne','Sydney Swans',0.745132,11.2,8,170.2,141.4,311.6,58.2,6.6,55.8,122,182.4,304.4,43.2,10.4,7.6,46.4,37.4,73.84,38.8,21.6,11.4,1298.4,16.4,34.8,30.2,8,53.02,57,48,9.2,21,25.96,48.68,21.52,22.12,22.16,22.2,11,7.2,190.4,121,311.4,74.4,3.2,54.2,128,179.6,307.6,43.4,4.8,10,34,37.4,72.7,46,24.2,14,1341.8,17.8,28.24,33,5.4,54.48,59.2,60,12.6,20.2,25.36,46.64,30.24,23.56,31.52,19.56,MRVL,16.32,-4.32,'GWS Giants',Essendon,loss
Collingwood,'St Kilda',0.551696,6.6,6.4,187,149.8,336.8,83.6,1.2,33,127.8,204.8,332.6,34,7.6,11.8,38.2,42.4,74.06,47.8,15,14.4,1297.8,12.6,26.56,33.8,4.2,42.1,63.6,62.4,6,15,18.68,43.44,30.52,22.04,19.32,18.8,12.6,5.6,196.6,132.2,328.8,83.8,3,60,126.6,199.8,326.4,40,11.4,8,43.6,36,71.62,45,20.2,16,1441.6,15.68,22.32,32.8,9.8,59.2,49.6,49.8,15.4,21.6,31.5,54,28.76,22.08,27.84,26.08,MCG,8.32,30.88,Richmond,'Western Bulldogs',win
'Geelong Cats',Carlton,0.809807,15.8,6.2,196,130.8,326.8,79,1.4,42.6,131.8,199.8,331.6,51.6,9.8,5.6,32.8,47.6,73.62,48.2,20.6,16.8,1359.4,18.12,30.08,29.8,12.6,64.88,65,62.2,11.4,24.2,30.44,47.04,31,28.04,25.32,24.04,8,10.6,184.2,99.6,283.8,72.2,3.2,37.4,114,164.2,278.2,49.2,8.8,11.8,26,42.4,69.64,45.4,15.2,18,1163.6,11.36,25.32,30.6,4.2,39.42,55.2,59.8,5.6,20.2,16.12,41.14,27.76,18.84,21.28,19.6,GMHBA,43.68,-4.64,Hawthorn,Melbourne,loss
'Brisbane Lions','West Coast Eagles',0.531584,11.4,8.8,182.4,122.2,304.6,71.2,2.2,50,129,174.2,303.2,43.6,8.8,10.4,34,51.2,73.64,45.2,12.6,19.2,1269.6,12.64,23.08,31.6,7.6,52.6,63,65,13.2,21.6,26.24,49.66,23.8,28.56,19.28,21.88,7.2,9.2,189.4,104.8,294.2,68.6,4.4,51,110.6,172.4,283,43.8,8,5,40.6,52.2,68.64,49.4,14.6,15,1249.2,17.12,22.6,33.8,5,36.64,68.6,64.4,8.2,19.8,17.26,45.66,23.8,26.28,26.28,21.36,G,5.12,-30.88,Fremantle,'Gold Coast Suns',win
'Gold Coast Suns','Adelaide Crows',0.758643,12,5.8,200.2,128.6,328.8,66.2,3.6,38.6,133.2,191,324.2,45.4,6.4,7.4,29.2,54.2,69.44,60.2,15.6,16.2,1284.2,10.2,27.8,41.4,8.6,53.04,64.6,68.4,5.2,22.4,25.46,47.64,24.04,30.04,23.88,25.32,6.2,5,138.8,118.2,257,39.4,1.4,47.2,119,131.6,250.6,33,4.4,6.2,30.8,40.4,64.06,53.6,14.8,17.8,993.4,11.2,24.8,37.2,5.4,56.7,61,59.2,5.8,10.8,18.24,32,23.76,22.6,20.04,15.04,MS,27.68,-60.48,'West Coast Eagles','Port Adelaide',win
'Sydney Swans','Western Bulldogs',0.798316,10.2,10.24,162.08,111.4,273.48,60.48,1.44,53.24,113.6,147.12,260.72,41.48,8.16,9.2,25.2,27.48,70.62,37.2,16.04,21.2,1149.96,13.56,21.648,30.6,6.68,50.896,51.04,56.8,12.12,20.04,24.592,48.368,25.048,29.712,29.304,22.912,7.72,8.48,170.84,133.88,304.72,73.48,6.24,53.52,108.56,194,302.56,42.48,7.92,5.72,16.12,37.12,73.016,42.48,23.68,16.92,1256.88,8.04,19.768,25.16,4.72,35.872,50.88,49.68,8.64,22.12,18.268,51.636,25.304,23.056,26.664,20.32,SCG,7.936,11.296,'North Melbourne','GWS Giants',loss
'GWS Giants',Collingwood,0.214919,5.16,9.24,173.4,94.36,267.76,91.84,4.84,43.16,104.44,160.92,265.36,30.84,7.88,10.44,28.48,35.16,70.304,49.64,15.36,24.92,1162.8,10.168,22.616,33.88,2.92,34.468,49.4,52.36,9.32,14.32,16.16,46.096,24.656,20.416,21.416,22.92,10.92,8.48,192.6,152.36,344.96,97.52,0.24,50.6,115.16,228.16,343.32,38.8,7.92,11.16,34.84,47.68,76.332,47.16,16.6,18.08,1448.36,12.52,27.312,29.16,7.24,48.42,59.12,62.88,9.2,22.2,27.736,56.688,31.104,27.408,18.864,20.76,GS,-21.376,36.864,'Western Bulldogs','St Kilda',win
'Port Adelaide','West Coast Eagles',0.836454,15.6,9.6,224.6,137.2,361.8,102,0.4,60.8,136.2,224.4,360.6,58,12.8,12.6,38.2,44.6,73.78,48.2,17,14,1610,14.88,32.76,25.4,8.8,58.58,59.6,61.4,12.6,27.2,27.06,46.8,26.76,24.8,25.84,18.12,6.24,8.24,165.08,90.56,255.64,51.32,1.68,51.8,116.52,130.48,247,35.96,8,8.2,40.92,54.44,62.848,51.48,14.92,19,1078.64,9.424,29.52,38.76,5,41.648,64.92,60.08,8.04,15.16,17.532,42.092,19.76,19.256,29.256,23.272,MS,67.52,-30.176,'Adelaide Crows','Brisbane Lions',win
'St Kilda',Richmond,0.277794,6.52,6.72,187.32,122.44,309.76,92.76,3,46.4,112.52,197.56,310.08,35.2,6.28,8,31.92,40,73.844,47.4,19.24,16.8,1316.32,7.136,21.464,28.96,4.36,42.64,59.52,56.36,7.88,14.72,18.06,41.36,28.752,26.416,19.568,22.216,5.44,8.52,171.32,122.32,293.64,73.32,4.52,34.88,120.2,172.64,292.84,43.36,10.72,9.2,14.28,34.88,69.972,56.24,21.52,18.4,1137.56,12.52,12.368,25.04,4.16,31.98,68.36,71.48,3.56,17.2,12.436,39.688,22.104,25.168,22.712,20.112,MRVL,-29.024,-24.832,Collingwood,Hawthorn,win
Essendon,Carlton,0.840559,11.4,7.4,168.8,136.6,305.4,59.6,6.4,50.8,122.6,179.6,302.2,45,7.4,11.4,29.8,50,73.32,48.2,13.8,22.2,1213.2,15.64,25.08,31.6,6,58,58.4,59.2,12,19.6,25.28,43.58,27.04,21.32,22.84,19.08,11.2,7.72,177.64,78.32,255.96,80.04,3.04,46.68,108.4,146.44,254.84,39.44,13.76,12.76,40.4,47.68,70.168,46.68,16.64,15.6,1199.92,13.272,21.064,31.72,8.84,51.484,56.64,60.76,3.52,21.64,29.144,55.828,26.552,29.768,24.256,23.92,MCG,5.76,0.672,'Sydney Swans','Geelong Cats',loss
