@relation parsed

@attribute home {Collingwood,Fremantle,'GWS Giants','Sydney Swans','Gold Coast Suns',Richmond,Carlton,'Port Adelaide','Geelong Cats','Adelaide Crows','North Melbourne',Essendon,Hawthorn,'Brisbane Lions','St Kilda',Melbourne,'West Coast Eagles','Western Bulldogs'}
@attribute away {Fremantle,Collingwood,'Sydney Swans','GWS Giants',Richmond,'Gold Coast Suns','Port Adelaide',Carlton,'Adelaide Crows','Geelong Cats',Essendon,'North Melbourne','Brisbane Lions',Hawthorn,Melbourne,'St Kilda','Western Bulldogs','West Coast Eagles'}
@attribute aaa numeric
@attribute aab numeric
@attribute aac numeric
@attribute aad numeric
@attribute aae numeric
@attribute aaf numeric
@attribute aag numeric
@attribute aah numeric
@attribute aai numeric
@attribute aaj numeric
@attribute aak numeric
@attribute aal numeric
@attribute aam numeric
@attribute aan numeric
@attribute aao numeric
@attribute aap numeric
@attribute aaq numeric
@attribute aar numeric
@attribute aas numeric
@attribute aat numeric
@attribute aau numeric
@attribute aav numeric
@attribute aaw numeric
@attribute aax numeric
@attribute aay numeric
@attribute aaz numeric
@attribute aba numeric
@attribute aca numeric
@attribute ada numeric
@attribute aea numeric
@attribute afa numeric
@attribute aga numeric
@attribute aha numeric
@attribute aia numeric
@attribute aja numeric
@attribute aka numeric
@attribute ala numeric
@attribute ama numeric
@attribute ana numeric
@attribute aoa numeric
@attribute apa numeric
@attribute aqa numeric
@attribute ara numeric
@attribute asa numeric
@attribute ata numeric
@attribute aua numeric
@attribute ava numeric
@attribute awa numeric
@attribute axa numeric
@attribute aya numeric
@attribute aza numeric
@attribute baa numeric
@attribute caa numeric
@attribute daa numeric
@attribute eaa numeric
@attribute faa numeric
@attribute gaa numeric
@attribute haa numeric
@attribute iaa numeric
@attribute jaa numeric
@attribute kaa numeric
@attribute laa numeric
@attribute maa numeric
@attribute naa numeric
@attribute oaa numeric
@attribute paa numeric
@attribute qaa numeric
@attribute raa numeric
@attribute saa numeric
@attribute taa numeric
@attribute uaa numeric
@attribute vaa numeric
@attribute waa {MRVL,GS,MS,GMHBA,UTAS,DS,AO,ANZ,G,MCG,UNSW,SCG,WS,TP,TIO,BA,CS,AAJS,MARS,OS,RS}
@attribute xaa numeric
@attribute ptpa numeric
@attribute ptpb {'North Melbourne','Brisbane Lions',Melbourne,'Sydney Swans',Carlton,'Geelong Cats',Collingwood,Richmond,'GWS Giants',Fremantle,Hawthorn,'Adelaide Crows','St Kilda','Western Bulldogs','West Coast Eagles',Essendon,'Gold Coast Suns','Port Adelaide'}
@attribute adfkjfasd {'Brisbane Lions','North Melbourne','Sydney Swans',Melbourne,'Geelong Cats',Carlton,Richmond,Collingwood,Fremantle,'GWS Giants','Adelaide Crows',Hawthorn,'Western Bulldogs','St Kilda',Essendon,'West Coast Eagles','Gold Coast Suns','Port Adelaide'}
@attribute Result {loss,lwin,win}

@data
'St Kilda','GWS Giants',10,8,227,121,348,118,27,54,125,224,349,38,8,8,34,41,74.7,40,16,10,1581,12,36,41,8,50,64,58,2,20,26.3,52.6,22.8,26.4,33.6,36,15,9,219,129,348,67,7,88,169,172,341,51,8,8,58,62,62.4,51,25,24,1578,15.6,50.4,41,7,60,77,75,13,25,29.4,49,33.6,31.2,28.8,34.8,MRVL,16.32,30.72,Melbourne,'Sydney Swans',win
'GWS Giants','St Kilda',15,9,219,129,348,67,7,88,169,172,341,51,8,8,58,62,62.4,51,25,24,1578,15.6,50.4,41,7,60,77,75,13,25,29.4,49,33.6,31.2,28.8,34.8,10,8,227,121,348,118,27,54,125,224,349,38,8,8,34,41,74.7,40,16,10,1581,12,36,41,8,50,64,58,2,20,26.3,52.6,22.8,26.4,33.6,36,MRVL,30.72,16.32,'Sydney Swans',Melbourne,loss
'Port Adelaide','Adelaide Crows',18,12,221,141,362,108,8,73,143,220,363,47,14,15,34,44,72.1,47,14,20,1669,19.2,31.2,30,9,56.3,52,59,11,32,38.3,68.1,32.4,26.4,24,30,12,9,178,192,370,70,9,60,134,227,361,47,10,8,31,50,73.5,51,12,16,1444,18,24,44,8,60,68,66,18,20,25.5,42.6,34.8,37.2,26.4,39.6,AO,31.68,-36.48,Carlton,'Geelong Cats',win
'Adelaide Crows','Port Adelaide',12,9,178,192,370,70,9,60,134,227,361,47,10,8,31,50,73.5,51,12,16,1444,18,24,44,8,60,68,66,18,20,25.5,42.6,34.8,37.2,26.4,39.6,18,12,221,141,362,108,8,73,143,220,363,47,14,15,34,44,72.1,47,14,20,1669,19.2,31.2,30,9,56.3,52,59,11,32,38.3,68.1,32.4,26.4,24,30,AO,-36.48,31.68,'Geelong Cats',Carlton,loss
Fremantle,'Gold Coast Suns',17,14,211,153,364,82,4,71,146,211,357,65,14,10,46,65,74.2,39,14,13,1606,10.8,28.8,42,10,53.1,68,74,19,32,26.2,49.2,33.6,34.8,39.6,33.6,12,15,205,169,374,80,20,58,157,207,364,48,11,8,31,61,67.4,48,20,22,1497,13.2,25.2,48,9,42.9,65,81,12,28,25,58.3,30,21.6,15.6,22.8,DS,67.2,17.28,Collingwood,Richmond,win
'Gold Coast Suns',Fremantle,12,15,205,169,374,80,20,58,157,207,364,48,11,8,31,61,67.4,48,20,22,1497,13.2,25.2,48,9,42.9,65,81,12,28,25,58.3,30,21.6,15.6,22.8,17,14,211,153,364,82,4,71,146,211,357,65,14,10,46,65,74.2,39,14,13,1606,10.8,28.8,42,10,53.1,68,74,19,32,26.2,49.2,33.6,34.8,39.6,33.6,DS,17.28,67.2,Richmond,Collingwood,loss
'Sydney Swans',Collingwood,9,13,196,124,320,69,5,76,159,163,322,51,8,9,37,70,62.5,66,24,25,1400,16.8,26.4,36,4,40.9,74,78,13,22,17.6,43.1,32.4,28.8,27.6,24,5,16,200,157,357,76,9,83,145,205,350,47,9,7,25,54,65.8,51,13,14,1516,16.8,28.8,47,3,26.3,74,68,11,19,10.6,40.4,31.2,33.6,34.8,40.8,ANZ,-30.72,-67.2,'GWS Giants',Fremantle,loss
Collingwood,'Sydney Swans',5,16,200,157,357,76,9,83,145,205,350,47,9,7,25,54,65.8,51,13,14,1516,16.8,28.8,47,3,26.3,74,68,11,19,10.6,40.4,31.2,33.6,34.8,40.8,9,13,196,124,320,69,5,76,159,163,322,51,8,9,37,70,62.5,66,24,25,1400,16.8,26.4,36,4,40.9,74,78,13,22,17.6,43.1,32.4,28.8,27.6,24,ANZ,-67.2,-30.72,Fremantle,'GWS Giants',lwin
'Brisbane Lions','Geelong Cats',13,13,184,128,312,74,6,65,124,183,307,50,12,7,41,47,69.9,42,12,18,1380,22.8,24,32,6,52,57,53,9,25,26,50,33.6,34.8,37.2,33.6,18,11,214,150,364,91,8,82,149,218,367,62,13,13,42,41,76.9,44,16,12,1684,18,26.4,35,11,52.9,66,68,14,34,29,54.8,31.2,31.2,26.4,36,G,-46.08,36.48,Hawthorn,'Adelaide Crows',loss
'Geelong Cats','Brisbane Lions',18,11,214,150,364,91,8,82,149,218,367,62,13,13,42,41,76.9,44,16,12,1684,18,26.4,35,11,52.9,66,68,14,34,29,54.8,31.2,31.2,26.4,36,13,13,184,128,312,74,6,65,124,183,307,50,12,7,41,47,69.9,42,12,18,1380,22.8,24,32,6,52,57,53,9,25,26,50,33.6,34.8,37.2,33.6,G,36.48,-46.08,'Adelaide Crows',Hawthorn,lwin
Melbourne,'West Coast Eagles',6,15,215,193,408,109,7,56,121,293,414,47,10,5,47,48,77.9,46,10,16,1642,8.4,27.6,28,5,31.6,58,64,10,19,12.8,40.4,28.8,20.4,24,16.8,21,8,208,180,388,90,22,70,160,229,389,60,13,16,53,41,72.9,41,15,16,1688,16.8,33.6,25,14,63.6,62,74,11,33,35,55,27.6,30,32.4,42,MCG,-16.32,62.4,'St Kilda','Western Bulldogs',loss
'West Coast Eagles',Melbourne,21,8,208,180,388,90,22,70,160,229,389,60,13,16,53,41,72.9,41,15,16,1688,16.8,33.6,25,14,63.6,62,74,11,33,35,55,27.6,30,32.4,42,6,15,215,193,408,109,7,56,121,293,414,47,10,5,47,48,77.9,46,10,16,1642,8.4,27.6,28,5,31.6,58,64,10,19,12.8,40.4,28.8,20.4,24,16.8,MCG,62.4,-16.32,'Western Bulldogs','St Kilda',lwin
'Western Bulldogs','North Melbourne',11,3,191,204,395,76,15,65,125,260,385,37,8,5,31,47,74.4,47,15,15,1539,19.2,31.2,38,9,61.1,74,62,11,18,29.7,48.6,33.6,32.4,27.6,40.8,9,6,159,132,291,73,18,63,110,180,290,40,4,9,44,60,75.3,31,9,12,1289,10.8,25.2,44,5,64.3,62,58,8,14,22.5,35,22.8,22.8,32.4,26.4,MRVL,-62.4,-37.44,'West Coast Eagles',Essendon,loss
'North Melbourne','Western Bulldogs',9,6,159,132,291,73,18,63,110,180,290,40,4,9,44,60,75.3,31,9,12,1289,10.8,25.2,44,5,64.3,62,58,8,14,22.5,35,22.8,22.8,32.4,26.4,11,3,191,204,395,76,15,65,125,260,385,37,8,5,31,47,74.4,47,15,15,1539,19.2,31.2,38,9,61.1,74,62,11,18,29.7,48.6,33.6,32.4,27.6,40.8,MRVL,-37.44,-62.4,Essendon,'West Coast Eagles',lwin
'Western Bulldogs',Richmond,8.6,5.4,187,168.8,355.8,81.6,7.8,61.8,123.4,226.4,349.8,41,7.2,9.8,42.2,47.8,75.2,38.2,13.4,11.8,1467.8,10.84,31.24,32.4,5,47.74,60.4,52.4,15,18,21.14,44.04,29.72,35.48,37.52,34.16,10,9,218,188,406,87,5,64,151,256,407,58,9,7,42,63,71.9,57,22,20,1620,15.6,39.6,35,8,52.6,81,66,15,19,17.2,32.8,32.4,25.2,21.6,33.6,MRVL,-30.336,-17.28,'North Melbourne','Gold Coast Suns',win
Richmond,'Western Bulldogs',10,9,218,188,406,87,5,64,151,256,407,58,9,7,42,63,71.9,57,22,20,1620,15.6,39.6,35,8,52.6,81,66,15,19,17.2,32.8,32.4,25.2,21.6,33.6,8.6,5.4,187,168.8,355.8,81.6,7.8,61.8,123.4,226.4,349.8,41,7.2,9.8,42.2,47.8,75.2,38.2,13.4,11.8,1467.8,10.84,31.24,32.4,5,47.74,60.4,52.4,15,18,21.14,44.04,29.72,35.48,37.52,34.16,MRVL,-17.28,-30.336,'Gold Coast Suns','North Melbourne',loss
'Adelaide Crows','Sydney Swans',11.2,7.4,201.2,162.4,363.6,89.2,15.4,65.6,129.2,226.2,355.4,54.2,10.8,7.2,36.6,49.2,73.5,46.2,21.6,16.8,1540.8,20.6,22.8,35.2,8,52,71.2,57.2,12.4,21.6,20.78,39.96,36.96,36.44,33.28,39.92,9.8,9.8,204.8,156,360.8,78.6,7.4,74.4,144.6,208.6,353.2,50.2,9.6,10.6,41.8,60.4,69.46,54.8,19.2,17,1538.4,16.36,33.28,36.8,5.6,38.98,80.4,72.4,9.8,25.2,19.52,50.22,37.48,39.76,32.52,29.8,AO,-53.2992,-20.4288,'Port Adelaide',Collingwood,loss
'Sydney Swans','Adelaide Crows',9.8,9.8,204.8,156,360.8,78.6,7.4,74.4,144.6,208.6,353.2,50.2,9.6,10.6,41.8,60.4,69.46,54.8,19.2,17,1538.4,16.36,33.28,36.8,5.6,38.98,80.4,72.4,9.8,25.2,19.52,50.22,37.48,39.76,32.52,29.8,11.2,7.4,201.2,162.4,363.6,89.2,15.4,65.6,129.2,226.2,355.4,54.2,10.8,7.2,36.6,49.2,73.5,46.2,21.6,16.8,1540.8,20.6,22.8,35.2,8,52,71.2,57.2,12.4,21.6,20.78,39.96,36.96,36.44,33.28,39.92,AO,-20.4288,-53.2992,Collingwood,'Port Adelaide',lwin
'Gold Coast Suns','Brisbane Lions',6.4,10.2,187.4,137,324.4,52,4,85.2,166.6,151.8,318.4,46.4,4.6,5.6,21.4,66.6,59.64,58.4,24,18.8,1370.6,14.64,42.04,48,3.4,32.1,84.2,73.8,10.4,19.2,13.72,41.26,30,32.32,29.12,31.56,10.6,9,192.8,132,324.8,77.2,9.2,77.8,146.4,179,325.4,45.2,9.6,4.6,38.6,56.6,63.98,38.8,21.6,14,1476,16.56,38.8,36.8,6.8,46.8,69,63.4,6.6,22.6,23.36,50,26.72,32.96,32.44,30.72,MS,-45.3888,-25.8432,Fremantle,'Geelong Cats',win
'Brisbane Lions','Gold Coast Suns',10.6,9,192.8,132,324.8,77.2,9.2,77.8,146.4,179,325.4,45.2,9.6,4.6,38.6,56.6,63.98,38.8,21.6,14,1476,16.56,38.8,36.8,6.8,46.8,69,63.4,6.6,22.6,23.36,50,26.72,32.96,32.44,30.72,6.4,10.2,187.4,137,324.4,52,4,85.2,166.6,151.8,318.4,46.4,4.6,5.6,21.4,66.6,59.64,58.4,24,18.8,1370.6,14.64,42.04,48,3.4,32.1,84.2,73.8,10.4,19.2,13.72,41.26,30,32.32,29.12,31.56,MS,-25.8432,-45.3888,'Geelong Cats',Fremantle,loss
'West Coast Eagles','St Kilda',18.6,13.6,214.4,172,386.4,93.2,21.2,58.8,135.2,249.8,385,54.4,8.2,8,47.4,45.8,74.5,37,16.6,19.2,1633.6,16.36,31.72,33,12.4,57.76,61.2,64.4,11.8,32.2,34.2,59.32,27.52,30,32.48,34.4,14,5.6,226.2,137,363.2,115.6,11.8,70,142.6,224,366.6,47.6,13.6,15.2,30.8,44.2,73.34,56.8,15.2,14.8,1670.6,16.4,33.2,38.6,9.6,67.12,64,61.2,10,20.8,29.26,44.12,28.56,33.28,30.72,38.2,DS,91.776,7.3728,Melbourne,'GWS Giants',win
'St Kilda','West Coast Eagles',14,5.6,226.2,137,363.2,115.6,11.8,70,142.6,224,366.6,47.6,13.6,15.2,30.8,44.2,73.34,56.8,15.2,14.8,1670.6,16.4,33.2,38.6,9.6,67.12,64,61.2,10,20.8,29.26,44.12,28.56,33.28,30.72,38.2,18.6,13.6,214.4,172,386.4,93.2,21.2,58.8,135.2,249.8,385,54.4,8.2,8,47.4,45.8,74.5,37,16.6,19.2,1633.6,16.36,31.72,33,12.4,57.76,61.2,64.4,11.8,32.2,34.2,59.32,27.52,30,32.48,34.4,DS,7.3728,91.776,'GWS Giants',Melbourne,loss
