Western Bulldogs,Fremantle, 1.62 , 2.28 ,,0,,,,,,,
West Coast,Brisbane, 1.03 , 11.96 ,,0,,,,,,,
Port Adelaide,St Kilda, 1.14 , 5.65 ,,0,,,,,,,
Geelong,Hawthorn, 2.12 , 1.71 ,,0,,,,,,,
Collingwood,Richmond, 2.04 , 1.78 ,,0,,,,,,,
Essendon,Melbourne, 5.76 , 1.14 ,,0,,,,,,,
Brisbane,North Melbourne, 3.82 , 1.27 ,,0,,,,,,,
Fremantle,Gold Coast, 1.23 , 4.14 ,,0,,,,,,,
Adelaide,Port Adelaide, 1.94 , 1.86 ,,0,,,,,,,
St Kilda,Western Bulldogs, 3.88 , 1.25 ,,0,,,,,,,
GWS Giants,Geelong, 2.66 , 1.46 ,,0,,,,,,,
Carlton,Sydney, 4.38 , 1.21 ,,0,,,,,,,
Hawthorn,West Coast, 2.22 , 1.66 ,,0,,,,,,,
Port Adelaide,Essendon, 1.11 , 6.78 ,,0,,,,,,,
Richmond,Adelaide, 1.89 , 1.93 ,,0,,,,,,,
Sydney,GWS Giants, 1.39 , 3.01 ,,0,,,,,,,
West Coast,Fremantle, 1.32 , 3.36 ,,0,,,,,,,
St Kilda,Collingwood, 2.33 , 1.61 ,,0,,,,,,,
Gold Coast,Carlton, 1.15 , 5.50 ,,0,,,,,,,
North Melbourne,Melbourne, 1.13 , 6.03 ,,0,,,,,,,
Geelong,Brisbane, 1.04 , 11.70 ,,0,,,,,,,
Western Bulldogs,Hawthorn, 2.05 , 1.77 ,,0,,,,,,,
West Coast,Richmond, 1.22 , 4.28 ,,0,,,,,,,
Hawthorn,St Kilda, 1.10 , 7.08 ,,0,,,,,,,
Brisbane,Gold Coast, 3.04 , 1.38 ,,0,,,,,,,
Adelaide,Sydney, 1.94 , 1.86 ,,0,,,,,,,
Essendon,Geelong, 10.34 , 1.04 ,,0,,,,,,,
Carlton,Western Bulldogs, 7.53 , 1.09 ,,0,,,,,,,
GWS Giants,Port Adelaide, 1.87 , 1.92 ,,0,,,,,,,
North Melbourne,Fremantle, 1.23 , 4.15 ,,0,,,,,,,
Collingwood,Melbourne, 1.39 , 3.00 ,,0,,,,,,,
Hawthorn,Adelaide, 1.41 , 2.91 ,,0,,,,,,,
Sydney,West Coast, 1.61 , 2.30 ,,0,,,,,,,
