home,away,percent,aaa,aab,aac,aad,aae,aaf,aag,aah,aai,aaj,aak,aal,zzzz,aam,aan,aao,aap,aaq,aar,aas,aat,aau,aav,aaw,aax,aay,aaz,aba,aca,ada,aea,afa,aga,aha,aia,aja,aka,ala,ama,ana,aoa,apa,aqa,ara,asa,ata,aua,ava,awa,axa,aya,aza,baa,caa,daa,eaa,faa,gaa,haa,iaa,jaa,kaa,laa,maa,naa,oaa,paa,qaa,raa,saa,taa,uaa,vaa,waa,xaa,ptpa,ptpb,Result
Adelaide Crows,Melbourne,0.7558534363896197,13.8,17.200000000000003,254.60000000000002,159.4,414.0,123.60000000000001,7.0,65.80000000000001,146.0,262.40000000000003,408.40000000000003,59.00000000000001,18.0,8.200000000000001,36.800000000000004,41.400000000000006,71.74,46.0,17.6,17.0,1820.0,19.32,36.52,33.800000000000004,12.0,46.32,68.0,69.2,14.8,29.400000000000002,23.22,49.760000000000005,29.72,35.480000000000004,30.28,30.52,9.8,9.0,190.60000000000002,122.80000000000001,313.4,82.0,3.8000000000000003,62.00000000000001,131.60000000000002,178.0,309.6,37.6,7.000000000000001,14.400000000000002,37.2,29.0,72.9,47.400000000000006,18.6,25.6,1358.2,11.08,32.32,44.2,3.6,50.96,62.2,58.400000000000006,11.400000000000002,19.0,25.340000000000003,49.6,35.480000000000004,32.24,32.44,31.44,AO,33.92,-31.84,Collingwood,GWS Giants,win
Sydney Swans,GWS Giants,0.43212505565963244,13.200000000000001,8.8,212.8,195.60000000000002,408.40000000000003,80.4,2.0,75.0,152.0,260.0,412.00000000000006,53.6,5.0,6.800000000000001,58.800000000000004,50.4,72.94,60.2,16.0,21.8,1668.2000000000003,15.64,43.56,50.0,8.600000000000001,51.74,74.2,69.80000000000001,14.600000000000001,25.400000000000002,24.86,47.66,35.24,31.04,35.92,26.560000000000002,14.4,11.8,198.20000000000002,157.2,355.40000000000003,84.00000000000001,17.6,70.80000000000001,134.0,223.20000000000002,357.20000000000005,60.400000000000006,10.8,9.8,43.0,35.0,75.42,46.800000000000004,27.400000000000002,18.4,1557.6000000000001,18.88,40.28,28.200000000000003,10.4,47.96,57.2,64.2,5.800000000000001,30.0,23.8,49.620000000000005,31.0,28.28,34.76,36.76,SCG,40.32000000000001,37.44,Port Adelaide,Melbourne,win
North Melbourne,Port Adelaide,0.6953883107156205,17.8,12.200000000000001,199.20000000000002,184.8,384.0,87.2,11.600000000000001,52.400000000000006,137.4,242.8,380.20000000000005,55.800000000000004,18.8,13.8,41.00000000000001,43.6,74.42,51.2,23.4,20.0,1561.8000000000002,19.64,28.6,37.800000000000004,12.400000000000002,58.480000000000004,57.2,53.6,8.0,30.000000000000004,31.42,53.18000000000001,35.480000000000004,33.24,26.52,22.76,6.800000000000001,8.0,223.20000000000002,205.2,428.40000000000003,108.80000000000001,6.2,56.2,130.4,294.40000000000003,424.8,58.0,9.2,6.000000000000001,29.0,50.6,73.16000000000001,48.2,20.8,16.6,1680.0000000000002,11.44,30.76,39.6,4.6000000000000005,34.800000000000004,67.80000000000001,70.80000000000001,13.600000000000001,19.400000000000002,12.52,34.480000000000004,37.68,30.04,31.04,31.96,MRVL,53.28000000000001,-39.52,Brisbane Lions,Sydney Swans,loss
Brisbane Lions,Richmond,0.2036816807280075,7.800000000000001,8.8,177.4,139.4,316.8,79.80000000000001,5.000000000000001,57.6,125.60000000000001,194.2,319.8,45.0,6.6000000000000005,5.6,35.0,35.0,72.30000000000001,52.400000000000006,21.0,23.4,1322.2000000000003,12.08,22.96,39.400000000000006,3.2,53.04,54.4,58.0,11.4,14.8,17.2,32.580000000000005,40.24,37.76,29.0,34.24,10.2,12.600000000000001,219.20000000000002,174.20000000000002,393.40000000000003,108.60000000000001,16.200000000000003,51.00000000000001,138.60000000000002,253.4,392.00000000000006,54.0,16.0,13.8,36.6,30.200000000000003,74.9,49.400000000000006,28.0,14.4,1631.0000000000002,12.16,29.32,35.8,7.6000000000000005,35.36,62.2,59.400000000000006,6.0,28.6,18.92,53.00000000000001,34.52,28.96,35.04,31.44,G,-67.52000000000001,-10.88,North Melbourne,Western Bulldogs,loss
Hawthorn,Western Bulldogs,0.17728210648133588,12.200000000000001,12.2,212.0,162.2,374.20000000000005,92.0,17.6,61.400000000000006,141.60000000000002,241.2,382.8,58.400000000000006,9.8,9.400000000000002,47.0,55.6,73.64000000000001,46.2,19.6,18.6,1578.2,14.92,42.0,36.2,8.600000000000001,49.72,68.0,61.60000000000001,12.400000000000002,24.6,20.86,41.980000000000004,30.28,31.72,32.96,35.72,12.400000000000002,13.0,197.6,137.60000000000002,335.20000000000005,82.2,12.400000000000002,77.2,131.2,204.40000000000003,335.6,50.00000000000001,7.6000000000000005,8.2,40.00000000000001,44.800000000000004,73.66,54.800000000000004,14.4,27.8,1481.8000000000002,14.36,29.64,40.6,8.6,50.52,57.2,63.400000000000006,13.0,24.800000000000004,24.82,49.36,32.0,30.240000000000002,35.96,41.64,UTAS,8.320000000000002,16.8,Essendon,Richmond,win
Geelong Cats,Gold Coast Suns,0.5678749443403677,8.8,7.4,165.2,160.6,325.8,80.60000000000001,6.6000000000000005,68.80000000000001,126.0,201.20000000000002,327.20000000000005,41.2,9.0,10.600000000000001,30.8,41.4,71.4,55.400000000000006,16.2,24.400000000000002,1367.8,13.120000000000001,23.88,40.6,6.800000000000001,54.4,61.800000000000004,56.0,11.4,17.0,21.400000000000002,41.18,35.480000000000004,30.28,30.76,37.28,10.6,15.0,184.20000000000002,162.4,346.6,57.6,11.600000000000001,53.00000000000001,145.60000000000002,197.8,343.4,49.4,8.8,8.600000000000001,40.2,57.0,71.16,51.6,18.400000000000002,17.8,1346.0,17.84,44.24,37.400000000000006,7.800000000000001,41.64,67.2,55.8,9.4,25.6,21.54,51.82,43.24,37.04,22.8,31.76,GMHBA,-45.120000000000005,-26.560000000000002,Fremantle,St Kilda,win
West Coast Eagles,Fremantle,0.2596023938705406,18.8,9.4,200.8,160.0,360.8,87.20000000000002,14.6,70.4,138.6,222.40000000000003,361.00000000000006,47.400000000000006,10.8,8.600000000000001,56.6,46.800000000000004,75.52,36.2,19.0,14.4,1620.2,21.36,33.32,28.6,15.200000000000001,63.519999999999996,57.800000000000004,55.6,11.200000000000001,30.6,39.46,40.94,30.04,28.76,40.68,35.92,14.2,13.000000000000002,229.60000000000002,170.8,400.40000000000003,108.20000000000002,6.800000000000001,57.00000000000001,146.0,257.20000000000005,403.20000000000005,55.6,11.4,12.200000000000001,59.00000000000001,39.0,75.9,38.400000000000006,26.200000000000003,16.0,1718.4,14.84,36.0,31.200000000000003,11.000000000000002,51.58,58.0,61.400000000000006,7.4,27.8,25.640000000000004,50.160000000000004,34.480000000000004,39.52,39.0,26.240000000000002,DS,53.6,36.32,Carlton,Geelong Cats,loss
Richmond,Melbourne,0.6200269198178672,18.84,11.32,233.44000000000003,167.64000000000001,401.08000000000004,93.72,5.640000000000001,56.60000000000001,150.12,246.68,396.80000000000007,56.400000000000006,21.6,12.360000000000001,35.32,38.84,74.74000000000001,49.080000000000005,21.6,23.68,1653.4,17.432000000000002,29.864,36.760000000000005,13.52,57.952000000000005,67.64,73.48,5.2,32.120000000000005,33.224,56.92,34.904,30.792,37.008,34.288,7.5600000000000005,12.200000000000001,186.92000000000002,138.96,325.88,54.80000000000001,1.56,79.60000000000001,157.52000000000004,163.6,321.12,41.120000000000005,5.4,9.280000000000001,55.44,39.400000000000006,62.260000000000005,50.28000000000001,15.72,21.92,1384.44,12.216000000000001,46.464,40.84,3.9200000000000004,34.512,68.44,73.28,13.480000000000002,22.200000000000003,18.428,53.760000000000005,41.096000000000004,31.448,36.488,33.288,MCG,61.024,-26.368000000000002,Brisbane Lions,Adelaide Crows,loss
Essendon,Collingwood,0.4734684472822582,15.080000000000002,8.4,233.8,157.36,391.16,123.84,6.5200000000000005,61.32000000000001,120.88000000000001,263.32000000000005,384.20000000000005,55.68000000000001,13.68,12.88,39.68,45.84,77.82000000000001,42.400000000000006,19.080000000000002,20.96,1727.6800000000003,12.032,26.312,46.080000000000005,12.24,56.524,58.440000000000005,66.68,8.88,26.880000000000003,26.996000000000006,48.016,37.192,39.352000000000004,37.792,30.512,18.720000000000002,13.200000000000001,214.12,152.84000000000003,366.96000000000004,74.24000000000001,5.2,72.48,170.60000000000002,198.36,368.96000000000004,71.08,19.400000000000002,9.440000000000001,39.84,57.32000000000001,68.912,46.8,25.800000000000004,16.520000000000003,1602.2800000000002,20.08,33.488,33.6,13.36,64.364,70.76,77.76,12.200000000000003,28.64,25.908000000000005,40.932,39.744,35.784,30.648,40.0,MCG,16.736,55.264,Carlton,St Kilda,loss
St Kilda,Carlton,0.722342441324409,11.0,6.5600000000000005,207.16000000000003,155.56,362.72,88.64,3.2800000000000002,69.32000000000001,153.12,216.24,369.36000000000007,44.32,11.64,8.68,41.64,54.760000000000005,69.19200000000001,60.60000000000001,16.32,26.440000000000005,1527.0,18.032,26.544,52.52,8.48,56.52,75.36,70.0,4.5600000000000005,19.36,24.624000000000002,43.556000000000004,37.544,38.192,29.8,40.6,10.680000000000001,16.16,198.56,134.44000000000003,333.0,73.28,11.600000000000001,45.160000000000004,151.16,183.48000000000002,334.64000000000004,53.040000000000006,9.24,13.720000000000002,37.68,47.28,69.81200000000001,45.32000000000001,19.68,19.040000000000003,1345.52,20.016,40.608,38.0,8.68,40.736,63.36,56.92,11.8,26.44,20.508000000000003,45.22,41.4,36.696,32.6,31.240000000000002,WS,-55.008,-28.704,Collingwood,Essendon,loss
