@relation playerParsed

@attribute Home numeric
@attribute Away numeric
@attribute Result {loss,win}

@data
1513.701617,1653.368426,win
1591.818815,1621.854708,win
1779.446816,1585.942992,win
1725.762651,1641.923074,win
1604.443362,1551.140133,win
1487.379908,1527.99536,win
1541.063703,1676.222874,loss
1532.332448,1753.292879,loss
1856.138495,1812.223221,loss
1638.113256,1665.9825,loss
1306.069868,1658.008992,win
1753.813165,1748.534186,loss
1715.383146,1519.834672,win
1379.833179,1571.799054,loss
1618.775339,1714.058599,win
1695.075982,1745.145105,win
1724.044575,1690.533943,loss
1780.602386,1643.92999,win
1771.155448,1688.618903,loss
1591.40624,1660.68423,win
1564.44814,1664.770055,win
1586.731144,1961.379442,win
1803.319268,1613.681424,win
1863.712634,1509.664787,win
1641.663686,1691.330896,loss
1456.222199,1492.862414,loss
1770.646224,1810.96281,win
1508.760131,1765.723781,win
1712.222267,1870.263854,win
1639.148273,1682.962656,win
1639.376839,1638.749072,win
1589.466179,1612.700832,loss
1380.869914,1878.090369,loss
1448.479578,1618.827219,win
1485.863792,1745.29777,win
1583.692042,1719.391988,loss
1481.899299,1361.321303,win
1570.514193,1753.688806,win
1700.7591,1691.39434,win
1786.570455,1900.383715,win
1540.292881,1716.778779,win
1441.684789,1604.872059,loss
1818.540166,1699.927988,loss
1615.578998,1835.57986,win
1791.078398,1629.523233,loss
1475.378286,1608.514091,loss
1684.87159,1677.699809,loss
1515.102096,1776.922373,win
1821.162646,1594.517647,loss
1672.449795,1577.072404,loss
1598.429686,1559.961022,win
1601.728283,1730.437306,loss
1599.771695,1490.571056,win
1708.508033,1750.494694,win
1638.574412,1315.390593,win
1556.543619,1675.514955,loss
1718.078754,1570.048773,loss
1542.652302,1647.866769,loss
1650.463037,1296.230317,win
1603.315984,1718.395159,loss
1638.66001,1489.783644,loss
1637.864141,1501.140575,loss
1712.129515,1810.224519,win
1480.035002,1676.289448,loss
1651.12584,1544.145388,win
1878.888453,1619.748939,loss
1736.403049,1476.241876,loss
1727.521567,1664.887919,win
1656.393412,1482.140168,loss
1659.403208,1628.595412,win
1356.994325,1698.218695,loss
1675.437786,1374.987966,loss
1595.794696,1713.779715,loss
1711.668592,1723.922382,loss
1669.613472,1605.377691,win
1605.939264,1583.670269,win
1637.486941,1596.154491,loss
1877.824881,1786.916199,loss
1451.72831,1885.259003,loss
1383.817884,1457.735418,win
1803.975227,1539.579505,loss
1715.782,1364.979141,loss
1688.02924,1588.883095,win
1925.532554,1507.21363,win
1615.972852,1696.012174,win
1655.781489,1466.130625,win
1627.609151,1614.873182,win
