@relation out

@attribute home {Mystics,Pulse,Stars,Steel,Magic,Tactix}
@attribute away {Steel,Magic,Tactix,Stars,Pulse,Mystics}
@attribute rea numeric
@attribute gfcpa numeric
@attribute gfta numeric
@attribute pa numeric
@attribute tipa numeric
@attribute ga numeric
@attribute posa numeric
@attribute oraa numeric
@attribute gma numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 0 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute ba numeric
@attribute passa numeric
@attribute gaa numeric
@attribute da numeric
@attribute tuwa numeric
@attribute cpra numeric
@attribute opa numeric
@attribute fea numeric
@attribute goalsa numeric
@attribute offa numeric
@attribute badpa numeric
@attribute dra numeric
@attribute breaka numeric
@attribute blocka numeric
@attribute badha numeric
@attribute mgta numeric
@attribute gfga numeric
@attribute sia numeric
@attribute goalaa numeric
@attribute deflaa numeric
@attribute cpa numeric
@attribute turna numeric
@attribute picka numeric
@attribute intera numeric
@attribute rb numeric
@attribute gfcpb numeric
@attribute gftb numeric
@attribute penb numeric
@attribute tipb numeric
@attribute gainb numeric
@attribute possb numeric
@attribute orb numeric
@attribute gmb numeric
@attribute bb numeric
@attribute passb numeric
@attribute gaaaab numeric
@attribute dispb numeric
@attribute tuwb numeric
@attribute cprb numeric
@attribute opb numeric
@attribute feedb numeric
@attribute goalsb numeric
@attribute offb numeric
@attribute bpb numeric
@attribute drb numeric
@attribute breakb numeric
@attribute blockb numeric
@attribute bhb numeric
@attribute mgtb numeric
@attribute gfgb numeric
@attribute sib numeric
@attribute gab numeric
@attribute deflb numeric
@attribute turnb numeric
@attribute pickb numeric
@attribute interb numeric
@attribute result {LOSS,WIN}

@data
Tactix,Steel,10.608576,28.430272,12.117376,53.107136,0,41.29279,25.104256,10.83616,4.628928,51.238656,9.104704,158.60704,21.847488,0.83968,100.356352,1.749184,37.630144,186.416128,0,46.300928,9.6432,100.356352,47.241984,1.001152,5.541568,33.830721,0.015616,0.166656,1.865664,0,6.694336,802.4704,1.749184,29.995008,69.089472,43.457536,59.724672,9.6176,5.289664,0,8.287424,44.622848,5.017408,45.323712,0,21.578876,21.137536,13.537856,5.46016,50.953856,13.938496,166.107072,12.763968,0.001536,104.56128,0.891712,54.850752,189.840576,0,55.188544,10.531648,104.56128,59.791296,1.614528,4.889152,21.037167,0.4816,0.8,2.267456,0,10.15104,6657.5808,0.891712,27.094144,72.555264,34.76,68.826624,8.878144,7.624192,0,LOSS
Magic,Stars,6.12416,33.45312,10.37152,64.39744,0,34.311123,27.50784,12.76544,5.39264,48.68192,14.12064,146.79936,8.81184,0.16,73.3424,6.17088,45.69504,143.21952,0,46.06464,13.6576,73.3424,49.37376,4.32448,9.48704,34.7222,1.16,0.8016,2.18112,0,5.54912,1042.9136,6.17088,29.69504,58.1856,50.73984,54.69856,12.9712,4.79104,0,6.99104,45.33696,7.52896,47.8736,0,30.311301,18.76736,13.24992,7.64768,48.95488,14.12576,177.02112,10.0928,0.80768,105.13952,4.36128,56.52768,195.82048,0,59.96832,12.06272,105.13952,62.60384,0.54112,4.35424,25.09742,1.22368,0.00768,1.10784,0,9.73792,2034.10624,4.36128,24.39264,72.69664,35.78528,66.6848,9.62592,5.3936,0,WIN
Pulse,Magic,6.411072,33.650048,8.6032,55.070144,0,35.781286,23.42816,12.548032,6.331904,53.490496,9.251264,147.294848,10.439104,0.800064,88.19968,1.231552,44.380928,165.628224,0,46.294208,12.034176,88.19968,49.521472,1.710272,5.226176,39.569335,0.038656,0.16128,0.567424,0,7.268224,803.35712,1.231552,26.028992,59.960576,42.970688,54.693184,10.475072,5.454336,0,6.024832,46.690624,8.474304,54.479488,0,33.528891,20.701568,8.153088,4.278528,51.336384,9.224128,164.559872,10.562368,0.032,93.06848,2.034176,55.539008,174.243904,0,58.812928,9.93152,93.06848,61.074752,2.464896,4.297408,43.308076,3.432,0.96032,2.836224,0,5.909824,855.78272,2.034176,23.539008,71.63712,44.547968,66.139712,8.99424,5.758208,0,WIN
Stars,Tactix,6.198208,46.667392,8.705792,49.57472,0,38.789533,20.553472,8.249984,6.329536,48.190976,10.025152,160.204224,9.21856,0.961536,89.027904,2.472256,55.305536,172.764096,0,56.793664,15.212544,89.027904,61.320768,3.308224,1.670848,31.686151,1.844736,0.001536,5.021568,0,5.947584,6902.821248,2.472256,24.078528,70.539328,34.357056,65.33696,6.725184,4.27872,0,7.721715,34.486054,6.423475,55.421427,0,23.073373,24.220851,11.767232,2.525786,49.447731,18.620941,162.921408,14.769498,0.167936,103.27127,9.149837,43.526029,178.083226,0,50.060186,11.52864,103.27127,51.048397,1.00023,6.708314,25.227683,0.803123,0.033331,1.173133,0,10.138867,802.09408,9.149837,29.199002,65.817894,43.891507,55.944934,16.32352,6.657933,0,LOSS
Mystics,Steel,5.047168,36.127424,7.320768,82.002304,0,29.180515,20.850432,15.944,5.318144,46.679936,15.504,152.462976,8.1616,0.161536,86.198976,6.96608,48.546944,156.95904,0,47.033984,14.834752,86.198976,53.34496,4.346496,3.064576,23.423118,2.57984,0.833536,5.169792,0,9.896768,804.698432,6.96608,24.033856,61.50656,67.167296,54.982144,16.39488,6.228672,0,10.457485,38.52457,6.603482,57.064742,0,23.62612,22.627507,12.307571,6.692032,50.990771,13.987699,171.621414,17.752794,0.000307,111.312256,6.578342,47.77015,194.768115,0,51.837709,16.50633,111.312256,54.358259,1.122906,3.37783,21.049539,0.89632,0.16,0.453491,0,9.230208,1977.91616,6.578342,27.018829,72.111053,40.552,63.365325,16.975629,3.124838,0,WIN
Steel,Tactix,8.491497,37.304914,9.320696,39.412948,0,34.354854,23.725501,7.261514,6.138406,53.398154,13.19754,167.124283,14.750559,0.000061,95.062451,3.715668,47.95403,178.153623,0,55.967542,8.101266,95.062451,56.471652,0.224581,6.275566,27.067051,0.179264,0.032,2.490698,0,9.846042,1041.983232,3.715668,29.403766,71.222211,31.3104,63.073065,10.595126,5.424968,0,3.944343,37.297211,7.684695,51.084285,0,27.471817,25.64417,11.953446,7.705157,49.089546,14.124188,165.384282,10.9539,0.033587,95.054254,5.829967,50.305206,174.816645,0,54.812037,14.305728,95.054254,55.009679,3.400046,1.341663,29.045537,0.160625,0.006666,2.634627,0,10.027773,6656.418816,5.829967,27.4398,65.963579,36.778301,60.788987,12.864704,7.731587,0,WIN
Pulse,Stars,2.882214,39.53001,12.12064,63.814029,0,39.656257,22.285632,17.709606,7.666381,49.898099,13.050253,159.05897,6.887821,0.160013,84.039936,1.84631,55.276186,165.925645,0,52.458842,12.806835,84.039936,60.304294,3.542054,1.845235,21.2472,0.807731,0.032256,0.113485,0,8.653645,803.071424,1.84631,24.405798,67.192115,50.994138,62.938637,9.295014,9.890867,0,6.839642,37.333478,8.941158,35.514944,0,34.424573,25.710694,12.049997,7.665907,50.438195,15.60503,162.440845,9.843712,0.192307,81.805581,6.094451,47.061107,159.352819,0,53.758733,5.442509,81.805581,54.664154,3.061645,3.53417,38.33723,1.168947,0.000307,3.404314,0,8.389517,2022.16425,6.094451,27.215706,64.507866,30.071411,57.067392,10.945037,8.055744,0,WIN
Magic,Mystics,2.804966,39.738125,4.094861,73.295898,0,16.705778,24.940314,8.030618,9.655706,51.067277,13.044826,150.511974,7.712474,0.0064,76.213696,3.606835,46.307802,142.848781,0,55.762586,15.586304,76.213696,50.61495,0.492979,4.859482,8.661615,0.6864,0.192064,2.167245,0,6.781965,818.356544,3.606835,30.307802,58.327424,57.709594,52.427942,13.798848,7.551642,0,6.609434,40.025485,10.264154,59.600461,0,35.169436,22.570086,12.7888,5.863629,46.135987,14.3008,167.292595,9.63232,0.032307,86.039795,4.593216,52.909389,168.991808,0,55.006797,17.36695,86.039795,60.268992,2.469299,4.612915,28.684624,0.515968,0.166707,2.633958,0,9.979354,804.939686,4.593216,26.406771,69.901312,42.233459,62.196429,12.078976,6.045734,0,LOSS
Tactix,Mystics,4.788869,37.859442,8.736939,57.416857,0,38.221636,18.728834,10.390689,4.741031,49.817909,8.424838,149.876856,14.99078,0.006717,97.410851,3.565993,46.861041,178.963329,0,49.362407,13.261146,97.410851,52.601936,0.680009,2.668333,10.809107,0.032125,0.001333,2.126925,0,6.005555,1977.683763,3.565993,23.08796,67.592716,44.15566,60.957797,8.172941,3.146317,0,7.721887,40.805097,10.052831,51.120092,0,29.256109,25.314017,11.35776,6.772726,54.827197,20.46016,182.258519,8.326464,0.006461,85.207959,7.318643,58.581878,171.398362,0,55.001359,12.27339,85.207959,65.653798,1.29386,3.322583,35.736925,0.103194,0.833341,4.526792,0,14.795871,808.187937,7.318643,27.681354,73.980262,38.846692,67.639286,16.815795,8.409147,0,WIN
Steel,Pulse,7.298299,36.260983,8.264139,56.68259,0,35.96188,19.1451,8.652303,2.827681,50.679631,13.039508,150.224857,11.750112,0.000012,97.41249,3.943134,47.190806,172.430725,0,49.593508,6.420253,97.41249,53.69433,0.044916,4.455113,19.958865,0.835853,0.0064,2.09814,0,9.169208,849.996646,3.943134,23.480753,65.444442,50.26208,58.214613,10.119025,4.284994,0,5.376443,45.506002,8.024128,55.162806,0,30.331251,16.457126,10.741921,7.133276,51.57962,13.010051,169.411794,6.977564,0.032003,77.607987,2.769262,56.655237,168.385129,0,55.291768,8.961367,77.607987,64.860859,0.708411,0.369047,61.392297,0.161546,0.006451,1.622697,0,11.330729,803.014285,2.769262,18.48116,71.838423,46.198828,62.187727,5.859003,9.178173,0,LOSS
