@relation out

@attribute home {Mystics,Pulse,Stars,Steel,Magic,Tactix}
@attribute away {Steel,Magic,Tactix,Stars,Pulse,Mystics}
@attribute rea numeric
@attribute gfcpa numeric
@attribute gfta numeric
@attribute pa numeric
@attribute tipa numeric
@attribute ga numeric
@attribute posa numeric
@attribute oraa numeric
@attribute gma numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 0 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute ba numeric
@attribute passa numeric
@attribute gaa numeric
@attribute da numeric
@attribute tuwa numeric
@attribute cpra numeric
@attribute opa numeric
@attribute fea numeric
@attribute goalsa numeric
@attribute offa numeric
@attribute badpa numeric
@attribute dra numeric
@attribute breaka numeric
@attribute blocka numeric
@attribute badha numeric
@attribute mgta numeric
@attribute gfga numeric
@attribute sia numeric
@attribute goalaa numeric
@attribute deflaa numeric
@attribute cpa numeric
@attribute turna numeric
@attribute picka numeric
@attribute intera numeric
@attribute rb numeric
@attribute gfcpb numeric
@attribute gftb numeric
@attribute penb numeric
@attribute tipb numeric
@attribute gainb numeric
@attribute possb numeric
@attribute orb numeric
@attribute gmb numeric
@attribute bb numeric
@attribute passb numeric
@attribute gasdfb numeric
@attribute dispb numeric
@attribute tuwb numeric
@attribute cprb numeric
@attribute opb numeric
@attribute feedb numeric
@attribute goalsb numeric
@attribute offb numeric
@attribute bpb numeric
@attribute drb numeric
@attribute breakb numeric
@attribute blockb numeric
@attribute bhb numeric
@attribute mgtb numeric
@attribute gfgb numeric
@attribute sib numeric
@attribute gab numeric
@attribute deflb numeric
@attribute turnb numeric
@attribute pickb numeric
@attribute interb numeric
@attribute result {LOSS,WIN}

@data
Tactix,Steel,11.066624,29.138048,10.949824,53.809024,0,37.05399,25.697664,11.64992,4.428352,50.589184,11.009856,159.01408,20.902912,0.74976,97.822528,2.392896,38.429376,181.643712,0,46.484352,10.35232,97.822528,47.589696,1.139008,5.263872,35.697924,0.113664,0.284544,2.421696,0,7.501824,832.00832,2.392896,30.340032,68.492608,43.418304,58.925568,9.95872,6.297216,0,8.325376,43.985792,5.166912,46.649728,0,23.364774,21.326464,12.975744,5.57568,50.577984,13.191104,164.892608,13.359872,0.031744,101.52128,0.993728,52.384448,185.791424,0,55.609216,10.279232,101.52128,58.478464,1.310592,4.851648,23.420381,0.7456,0.6,2.345344,0,9.32576,5195.0848,0.993728,26.513216,71.838336,36.2704,66.220096,8.534336,7.340288,0,LOSS
Magic,Stars,6.09792,34.19744,10.39744,63.35808,0,33.484996,27.72768,12.33888,6.62208,49.25184,14.15168,149.86912,9.57568,0.24,76.8992,5.94496,46.58528,149.46784,0,46.51008,13.2608,76.8992,50.68992,3.57216,8.01888,31.554098,1.24,0.6256,2.39104,0,6.09504,1510.6256,5.94496,30.45088,60.2656,50.09728,56.48672,13.1552,4.98208,0,6.39488,44.72992,8.22752,50.8656,0,34.448251,18.60032,12.95584,7.25376,49.15296,13.09952,171.83584,9.5568,0.65376,104.19584,3.75136,56.51776,192.65056,0,58.50784,11.44544,104.19584,61.88128,1.03104,4.02208,23.478303,1.42176,0.05376,1.39808,0,8.92384,2956.00768,3.75136,23.94368,71.43808,39.26656,66.2768,9.36384,5.3632,0,WIN
Pulse,Magic,6.731648,32.948032,8.52704,53.869376,0,33.081244,24.37504,12.595968,7.214656,52.916224,11.115776,149.625792,11.422016,0.604096,87.0976,1.887808,44.184832,164.921216,0,46.895232,11.823744,87.0976,49.543488,1.592448,4.569984,35.052386,0.140544,0.25536,1.183616,0,8.068416,803.69504,1.887808,28.182208,60.965504,41.838272,55.470016,10.109248,6.174144,0,6.039168,43.678976,8.958976,56.543232,0,33.393998,22.491072,9.135552,5.048832,50.900736,10.460672,161.347648,10.430272,0.096,89.55968,2.977984,53.434112,168.987136,0,55.804032,10.70432,89.55968,58.675968,2.628864,5.007552,39.894366,2.896,0.85024,2.756416,0,6.038016,1089.65024,2.977984,25.380352,69.10624,45.838912,63.994688,10.06208,5.592832,0,WIN
Stars,Tactix,6.157952,46.091968,8.691008,50.34624,0,38.324755,20.040128,9.382336,6.501504,48.461184,10.639808,162.334336,9.22272,0.861504,92.678336,2.700544,55.607104,177.260224,0,57.003136,14.178176,92.678336,61.352512,2.812416,2.208832,29.391321,1.768704,0.021504,4.159232,0,6.569536,6054.403072,2.700544,23.977472,70.575232,36.106624,65.51072,7.345536,4.54528,0,8.62665,33.255219,7.37993,55.12361,0,25.932707,24.679066,11.859968,2.971341,49.635674,17.003942,162.005632,16.161165,0.299904,101.529011,7.557158,42.37175,178.257485,0,49.193741,11.340928,101.529011,50.235878,1.055603,6.305549,28.125323,0.645466,0.113818,1.568678,0,9.60073,814.003328,7.557158,29.536013,66.397043,43.767322,56.570227,14.783488,6.718886,0,LOSS
Mystics,Steel,5.999872,35.496896,7.872832,75.293376,0,29.464699,21.621888,14.87456,5.825216,47.505664,16.70176,156.853504,9.00288,0.261504,85.121344,6.7568,48.361856,158.33216,0,47.479616,13.497408,85.121344,54.21056,3.660224,3.193024,23.559813,2.17568,0.727744,4.970048,0,10.840832,804.616768,6.7568,24.941504,63.21344,61.789824,56.007936,16.49024,6.811968,0,9.93015,39.794317,6.266765,54.659891,0,23.828668,22.330586,12.390298,6.430272,50.831194,13.676442,169.757043,16.743949,0.012698,108.408512,5.197491,48.553779,191.91657,0,52.843686,14.911693,108.408512,55.191386,1.124237,3.740659,21.999731,0.89824,0.24,0.938138,0,9.130304,2562.83392,5.197491,26.805286,71.935334,39.70816,63.688038,14.813734,4.136115,0,WIN
Steel,Tactix,8.77206,38.117727,8.506706,42.863956,0,31.753689,23.332234,8.556119,6.172109,52.732477,13.270577,167.502817,15.09758,0.005079,97.963405,3.878996,48.221512,181.166628,0,55.337475,9.564677,97.963405,56.276554,0.449695,5.696264,25.94275,0.359296,0.096,2.175255,0,9.652122,1509.933568,3.878996,28.722115,71.374134,33.283264,63.275215,11.325494,5.254446,0,5.25066,36.102088,7.751972,52.049444,0,27.51594,25.471626,11.943987,6.588536,49.254269,14.601577,164.402253,12.464466,0.119962,96.411604,6.022863,48.1487,175.702994,0,53.277496,13.536371,96.411604,53.694351,2.822241,2.52222,29.250129,0.258186,0.045527,2.427471,0,9.840292,5197.601331,6.022863,28.014405,66.158817,38.506929,59.828091,13.113395,7.487555,0,WIN
Pulse,Stars,3.892659,37.779213,11.210816,61.14775,0,37.607498,22.950016,16.438387,7.685862,50.56649,12.84631,157.050317,8.168806,0.241638,84.63904,1.955123,52.473933,165.568486,0,51.158093,12.529498,84.63904,57.617395,3.036979,2.427994,24.020954,0.656218,0.102144,0.473446,0,8.627366,803.278016,1.955123,25.672883,65.786202,48.535309,61.188006,9.443699,9.069658,0,6.663181,39.436787,8.876403,39.338496,0,35.329902,24.216051,11.552934,7.400602,49.984474,14.455923,162.733734,9.689088,0.344602,85.071334,5.280218,49.242842,164.50409,0,54.601254,7.47127,85.071334,56.341005,2.924966,3.283533,35.756528,1.307482,0.008602,3.463693,0,8.027814,2902.961229,5.280218,26.390989,66.030093,31.84265,59.204288,10.138214,7.218112,0,WIN
Magic,Mystics,3.615667,40.27159,5.38359,69.417293,0,20.857599,24.596429,8.454221,8.619533,50.960294,12.584269,152.739059,8.372109,0.0384,79.023872,3.591194,47.773645,148.594854,0,55.321613,14.481728,79.023872,52.270387,1.051546,5.003021,15.957747,1.1584,0.340096,2.302566,0,6.615206,921.260096,3.591194,29.352141,60.642496,54.935565,54.997875,13.024832,7.037133,0,6.599949,38.798758,9.749133,62.51735,0,33.78588,22.448755,13.149824,5.930086,46.602266,15.080704,165.341402,9.601152,0.104602,85.648538,5.10272,51.744742,166.532864,0,53.191846,16.198963,85.648538,58.884224,2.66409,4.27721,27.423925,0.870272,0.291098,3.188019,0,10.336333,804.846707,5.10272,26.176602,68.485376,46.31593,60.803174,13.196096,6.324787,0,LOSS
Tactix,Mystics,5.100264,37.240835,8.500789,56.219778,0,35.551831,20.38865,10.777595,5.035415,49.701708,10.040631,153.360901,14.585786,0.047985,97.364642,4.209145,46.85948,178.281198,0,50.110999,13.214548,97.364642,52.677741,1.128897,2.808888,15.450052,0.103274,0.018211,2.170989,0,6.936117,2563.840532,4.209145,24.405762,67.263527,43.002771,60.531236,9.445358,4.195022,0,7.43998,40.119503,9.899653,54.40694,0,30.181018,24.579502,11.85993,6.572035,52.840906,19.232282,177.736561,8.640461,0.041841,85.259415,6.841088,56.697897,169.813146,0,54.276739,13.079585,85.259415,63.75369,1.665636,3.510884,33.46957,0.348109,0.716439,4.275208,0,13.734533,807.338683,6.841088,27.270641,72.39415,41.326372,65.72127,16.078438,7.929915,0,WIN
Steel,Pulse,7.708824,36.847091,8.202682,53.745583,0,34.519658,20.132894,8.822448,3.668844,51.092991,13.108231,154.601127,12.639032,0.002032,97.985362,3.951599,47.488605,175.066651,0,50.93499,7.425871,97.985362,54.310622,0.179878,4.678505,21.286191,0.743718,0.0384,2.070102,0,9.260849,1085.173427,3.951599,24.688846,66.949654,46.313306,59.510086,10.530198,4.501778,0,5.157064,43.311685,8.684326,56.2591,0,31.842999,18.180006,11.975355,7.274345,51.426596,12.938524,166.020127,7.467523,0.096655,79.455616,2.582049,55.189573,167.627395,0,54.063237,9.811799,79.455616,62.646958,1.214792,0.971197,52.465525,0.262487,0.040858,1.389379,0,10.650947,803.111206,2.582049,20.469153,70.114481,46.414124,61.675203,6.77748,9.027863,0,LOSS
