@relation out

@attribute home {Mystics,Pulse,Stars,Steel,Magic,Tactix}
@attribute away {Steel,Magic,Tactix,Stars,Pulse,Mystics}
@attribute rea numeric
@attribute gfcpa numeric
@attribute gfta numeric
@attribute pa numeric
@attribute tipa numeric
@attribute ga numeric
@attribute posa numeric
@attribute oraa numeric
@attribute gma numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 0 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute ba numeric
@attribute passa numeric
@attribute gaa numeric
@attribute da numeric
@attribute tuwa numeric
@attribute cpra numeric
@attribute opa numeric
@attribute fea numeric
@attribute goalsa numeric
@attribute offa numeric
@attribute badpa numeric
@attribute dra numeric
@attribute breaka numeric
@attribute blocka numeric
@attribute badha numeric
@attribute mgta numeric
@attribute gfga numeric
@attribute sia numeric
@attribute goalaa numeric
@attribute deflaa numeric
@attribute cpa numeric
@attribute turna numeric
@attribute picka numeric
@attribute intera numeric
@attribute rb numeric
@attribute gfcpb numeric
@attribute gftb numeric
@attribute penb numeric
@attribute tipb numeric
@attribute gainb numeric
@attribute possb numeric
@attribute orb numeric
@attribute gmb numeric
@attribute bb numeric
@attribute passb numeric
@attribute gasdfb numeric
@attribute dispb numeric
@attribute tuwb numeric
@attribute cprb numeric
@attribute opb numeric
@attribute feedb numeric
@attribute goalsb numeric
@attribute offb numeric
@attribute bpb numeric
@attribute drb numeric
@attribute breakb numeric
@attribute blockb numeric
@attribute bhb numeric
@attribute mgtb numeric
@attribute gfgb numeric
@attribute sib numeric
@attribute gab numeric
@attribute deflb numeric
@attribute turnb numeric
@attribute pickb numeric
@attribute interb numeric
@attribute result {LOSS,WIN}

@data
Tactix,Steel,10.306514,28.163918,12.619864,52.619509,0,43.23311,24.623019,10.41023,4.803757,51.609454,8.077536,157.955395,22.015882,0.90999,100.934668,1.388316,37.303926,188.001912,0,46.172832,9.31066,100.934668,47.110191,0.995533,5.737872,32.723839,0.001989,0.090909,1.468101,0,6.326409,802.007435,1.388316,29.594157,69.126073,43.307949,59.930778,9.35206,4.675611,0,8.174986,44.497067,5.002047,44.675638,0,20.514352,21.397504,13.782609,5.622735,51.034104,14.432669,165.911723,12.395222,0.000094,105.528725,0.921713,56.000828,190.883189,0,54.697396,10.736162,105.528725,60.083074,1.801902,4.926078,19.117061,0.2701,0.9,2.163709,0,10.58396,7388.7973,0.921713,27.837296,72.478296,33.930475,69.997771,8.969831,7.803503,0,LOSS
Magic,Stars,6.08073,33.16661,10.23721,65.10567,0,34.504404,27.28347,12.89577,4.70397,48.36561,14.07992,144.99118,8.40622,0.09,71.63675,6.14119,45.31772,140.09776,0,45.96822,13.8575,71.63675,48.68763,4.68024,10.22592,36.169434,1.09,0.9001,2.09281,0,5.28381,874.7936,6.14119,29.33167,57.09385,51.24817,53.82293,12.5912,4.84882,0,7.44842,45.28693,7.23563,46.4586,0,27.47839,19.24508,13.20661,7.81599,48.93969,14.93633,179.91166,10.5168,0.90099,104.80151,4.68559,56.29549,196.62604,0,60.54496,12.50801,104.80151,62.81467,0.28281,4.63912,26.19055,1.10799,0.00099,1.02827,0,10.29211,1473.32782,4.68559,25.04867,73.33147,33.94699,66.8303,9.80361,5.60455,0,WIN
Pulse,Magic,6.206243,34.221037,8.755145,55.998851,0,37.374755,22.798765,12.338223,5.731261,53.731129,8.521691,146.731317,9.764516,0.900001,89.00011,1.058983,44.962672,166.493306,0,46.081857,12.054624,89.00011,50.004963,1.828893,5.603619,41.912604,0.009909,0.09009,0.286481,0,7.028781,803.18531,1.058983,24.648838,59.769479,43.926137,54.646276,10.719193,5.171844,0,6.008073,48.316661,8.223721,53.310567,0,33.45044,19.828347,7.589577,4.070397,51.636561,8.607992,166.599118,10.740622,0.009,95.363675,1.514119,56.731772,177.809776,0,60.396822,9.48575,95.363675,62.468763,2.268024,3.722592,44.526034,3.709,0.99001,2.909281,0,5.928381,815.57936,1.514119,22.733167,73.209385,43.824817,67.482293,8.45912,5.884882,0,WIN
Stars,Tactix,6.144842,46.828693,8.823563,49.64586,0,39.566021,20.824508,7.620661,6.181599,48.093969,9.593633,158.391166,9.15168,0.990099,86.980151,2.268559,55.129549,169.962604,0,56.454496,15.650801,86.980151,61.181467,3.628281,1.363912,32.619055,1.910799,0.000099,5.502827,0,5.529211,7455.332782,2.268559,24.104867,70.333147,33.994699,65.18303,6.380361,4.160455,0,7.330651,35.216392,5.761986,55.661951,0,20.989978,24.062302,11.841023,2.280376,49.260945,19.707754,163.395539,13.901588,0.090999,103.693467,10.038832,44.230393,177.200191,0,50.517283,11.731066,103.693467,51.511019,0.999553,6.873787,24.041615,0.900199,0.009091,1.04681,0,10.532641,802.000744,10.038832,29.059416,65.412607,43.930795,55.493078,17.135206,6.767561,0,LOSS
Mystics,Steel,4.555522,36.531071,7.130077,85.415271,0,29.582029,20.456133,16.483355,5.130296,46.320004,14.423005,150.221479,7.99419,0.090099,86.648524,6.995435,48.378791,156.43826,0,46.959251,15.773733,86.648524,52.733225,4.683629,3.018064,24.046666,2.79272,0.909094,5.140658,0,9.072077,804.822673,6.995435,23.553614,60.727415,69.641529,54.492531,16.20878,5.703753,0,10.717499,37.749707,6.800205,58.467564,0,23.775573,22.83975,12.178261,6.862273,51.00341,14.043267,172.291172,18.339522,0.000009,112.252873,7.292171,47.000083,195.488319,0,51.36974,17.273616,112.252873,53.708307,1.08019,3.192608,20.859074,0.92701,0.09,0.216371,0,9.158396,1466.07973,7.292171,27.08373,72.04783,41.193048,62.799777,17.996983,2.58035,0,WIN
Steel,Tactix,8.27175,37.074971,9.68002,37.346756,0,35.710891,23.883975,6.617826,6.086227,53.700341,13.104327,166.629117,14.433952,0.000001,93.125287,3.429217,47.900008,176.148832,0,56.436974,7.127362,93.125287,56.670831,0.108019,6.619261,27.800193,0.092701,0.009,2.721637,0,9.91584,873.807973,3.429217,29.708373,71.104783,30.219305,62.979978,9.899698,5.658035,0,3.433065,37.721639,7.776199,50.566195,0,27.813283,25.80623,11.984102,8.328038,49.026095,13.670775,165.739554,10.390159,0.0091,94.069347,5.503883,51.223039,174.320019,0,55.451728,14.673107,94.069347,55.551102,3.699955,0.687379,29.404161,0.09002,0.000909,2.804681,0,10.053264,7388.200074,5.503883,27.205942,65.941261,35.893079,61.349308,12.513521,7.876756,0,WIN
Pulse,Stars,2.420624,40.322104,12.575515,64.999885,0,40.299975,22.079877,18.333822,7.773126,49.473113,13.452169,160.473132,6.376452,0.09,83.600011,1.905898,56.696267,166.049331,0,53.208186,12.905462,83.600011,61.700496,3.782889,1.460362,19.19126,0.900991,0.009009,0.028648,0,8.802878,803.018531,1.905898,24.064884,68.076948,52.092614,63.964628,9.171919,10.417184,0,6.914484,36.182869,8.982356,33.764586,0,33.956602,26.382451,12.462066,7.81816,50.709397,16.259363,162.539117,9.915168,0.09901,80.698015,6.526856,46.012955,157.39626,0,53.34545,4.26508,80.698015,53.818147,3.062828,3.736391,39.261905,1.09108,0.00001,3.250283,0,8.652921,1467.333278,6.526856,27.610487,63.733315,29.49947,56.018303,11.438036,8.516045,0,WIN
Magic,Mystics,2.400807,39.031666,3.522372,75.531057,0,14.595044,25.382835,7.958958,10.30704,51.063656,13.460799,148.959912,7.374062,0.0009,74.336367,3.751412,45.273177,139.280978,0,55.539682,16.248575,74.336367,49.446876,0.226802,4.872259,4.452603,0.3709,0.099001,2.090928,0,6.892838,809.657936,3.751412,31.073317,56.820938,59.282482,50.848229,14.345912,7.788488,0,6.755552,40.553107,10.613008,57.141527,0,35.958203,22.745613,12.448336,5.91303,46.032,14.0423,168.922148,9.799419,0.00901,86.064852,4.299544,53.437879,170.443826,0,55.995925,17.777373,86.064852,61.073323,2.268363,4.801806,29.404667,0.279272,0.090909,2.314066,0,9.907208,804.982267,4.299544,26.655361,70.872742,39.364153,63.049253,11.520878,5.970375,0,LOSS
Tactix,Mystics,4.843307,37.972164,8.87762,58.15662,0,39.59951,17.880623,10.19841,4.432804,49.902609,7.667078,147.973955,15.439016,0.00091,97.606935,3.250388,46.522304,179.432002,0,48.745173,13.167311,97.606935,52.35511,0.369996,2.768738,8.565416,0.009002,0.000091,2.080468,0,5.505326,1466.020007,3.250388,22.520594,67.794126,44.989308,61.034931,7.551352,2.587676,0,7.875555,40.955311,10.061301,49.814153,0,28.59582,25.674561,11.144834,6.891303,55.9032,21.20423,184.292215,8.179942,0.000901,85.106485,7.629954,59.343788,171.844383,0,55.099593,11.677737,85.106485,66.407332,1.126836,3.180181,36.690467,0.027927,0.909091,4.731407,0,15.390721,808.598227,7.629954,27.865536,74.587274,38.136415,68.404925,17.352088,8.697038,0,WIN
Steel,Pulse,7.127175,36.107497,8.168002,58.634676,0,36.298362,18.588398,8.761783,2.408623,50.370034,13.010433,148.062912,11.343395,0,97.512529,3.942922,47.090001,171.514883,0,48.843697,6.112736,97.512529,53.367083,0.010802,4.261926,19.143656,0.90927,0.0009,2.072164,0,9.091584,809.180797,3.942922,22.770837,64.710478,52.52193,57.597998,9.98997,4.165804,0,5.642062,46.33221,7.557551,54.199989,0,29.229998,15.707988,9.933382,7.077313,51.747311,13.045217,170.847313,6.937645,0.009,76.760001,2.89059,56.969627,168.704933,0,55.720819,8.490546,76.760001,65.57005,0.378289,0.146036,66.20484,0.090099,0.000901,1.802865,0,11.680288,803.001853,2.89059,17.706488,72.507695,45.709261,62.196463,5.417192,9.141718,0,LOSS
